label,message
ham,Let me know if you need anything else.
ham,Thanks for your help with the project.
ham,Meeting scheduled for 13:00 tomorrow. Please confirm.
ham,Quick question: are you free at 10:00?
ham,Quick question: are you free at 11:00?
ham,Thanks for the feedback. I will incorporate it.
ham,I will send you the details by 13:00.
ham,See you at 15:00 for lunch.
ham,I will send you the details by 11:00.
ham,The meeting went well. Next steps are...
ham,See you at 14:00 for lunch.
ham,I will send you the details by 10:00.
ham,Quick question: are you free at 9:00?
ham,I will send you the details by 16:00.
spam,FREE entry to win  cash! Text WIN to 3385
spam,Alert: Suspicious activity on your account. Secure at http://spam-link.com
ham,The package has been delivered.
spam,FREE entry to win  cash! Text WIN to 3780
ham,Reminder: appointment at 10:00 tomorrow.
ham,Thanks for the update. I will review it tomorrow.
ham,The meeting went well. Next steps are...
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,Happy birthday! Have a great day!
ham,The payment has been processed successfully.
spam,CONGRATULATIONS! You have won a  prize! Click here to claim.
ham,"Hey, how are you? Let me know when you can meet."
spam,WINNER! You have won a free vacation worth . Call 4854 now.
ham,Your order #5897 has been shipped.
spam,FREE entry to win  cash! Text WIN to 6031
ham,Let me know if you need anything else.
ham,The meeting went well. Next steps are...
ham,I will send you the details by 17:00.
spam,Earn  per week from home! Details at http://spam-link.com
spam,FREE entry to win  cash! Text WIN to 5028
ham,Meeting scheduled for 16:00 tomorrow. Please confirm.
ham,The payment has been processed successfully.
spam,WINNER! You have won a free vacation worth . Call 1391 now.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM3432
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM823
ham,The package has been delivered.
spam,LIMITED TIME OFFER: Get  off your next purchase. Use code SPAM720
spam,FREE entry to win  cash! Text WIN to 9528
ham,Thanks for your help with the project.
ham,Thanks for your help with the project.
ham,The payment has been processed successfully.
spam,URGENT: Your account will be closed. Verify now at http://spam-link.com
spam,WINNER! You have won a free vacation worth . Call 5903 now.
spam,You have been selected for a  reward. Claim at http://spam-link.com
spam,FREE entry to win  cash! Text WIN to 7648
ham,Your order #6828 has been shipped.
spam,WINNER! You have won a free vacation worth . Call 4097 now.
spam,You have been selected for a  reward. Claim at http://spam-link.com
ham,Just wanted to check in. Hope you are doing well.
ham,Meeting scheduled for 10:00 tomorrow. Please confirm.
ham,Just wanted to check in. Hope you are doing well.
spam,Last chance to claim your  reward. Click http://spam-link.com
ham,The meeting went well. Next steps are...
ham,"Hey, how are you? Let me know when you can meet."
ham,The report is ready. Please find attached.
